code,bu,stcode,DATE,food_credit,nonfood_consign,perishable_nonmer,totalsoh
PWB00007,PWB,00007,20250123,4724.0,1229.0,0.0,5953.0
PWB00010,PWB,00010,20250123,7955.0,1525.0,0.0,9480.0
PWB00011,PWB,00011,20250123,9906.0,1882.0,0.0,11788.0
PWB00012,PWB,00012,20250123,11267.0,2963.0,0.0,14230.0
PWB00015,PWB,00015,20250123,7998.0,2602.0,0.0,10600.0
PWB00018,PWB,00018,20250123,2349.0,1051.0,0.0,3400.0
PWB00021,PWB,00021,20250123,5794.0,2612.0,0.0,8406.0
PWB00022,PWB,00022,20250123,3226.0,1410.0,0.0,4636.0
PWB00023,PWB,00023,20250123,9335.0,2131.0,0.0,11466.0
PWB00026,PWB,00026,20250123,3193.0,1054.0,0.0,4247.0
PWB00027,PWB,00027,20250123,7560.0,2716.0,0.0,10276.0
PWB00028,PWB,00028,20250123,8140.0,2334.0,0.0,10474.0
PWB00029,PWB,00029,20250123,2468.0,1570.0,0.0,4038.0
PWB00033,PWB,00033,20250123,3233.0,960.0,0.0,4193.0
PWB00034,PWB,00034,20250123,3426.0,1644.0,0.0,5070.0
PWB00039,PWB,00039,20250123,8163.0,2719.0,0.0,10882.0
PWB00045,PWB,00045,20250123,3893.0,1676.0,0.0,5569.0
PWB00047,PWB,00047,20250123,3657.0,1554.0,0.0,5211.0
PWB00059,PWB,00059,20250123,3097.0,1069.0,0.0,4166.0
PWB00063,PWB,00063,20250123,2804.0,1373.0,0.0,4177.0
PWB00065,PWB,00065,20250123,12162.0,2800.0,0.0,14962.0
PWB00071,PWB,00071,20250123,6951.0,2228.0,0.0,9179.0
PWB00079,PWB,00079,20250123,2744.0,1223.0,0.0,3967.0
PWB00088,PWB,00088,20250123,3247.0,1469.0,0.0,4716.0
PWB00096,PWB,00096,20250123,12964.0,4092.0,0.0,17056.0
PWB00098,PWB,00098,20250123,280.0,39.0,0.0,319.0
PWB00100,PWB,00100,20250123,3069.0,1170.0,0.0,4239.0
PWB00104,PWB,00104,20250123,2819.0,1181.0,0.0,4000.0
PWB00105,PWB,00105,20250123,4080.0,1441.0,0.0,5521.0
PWB00110,PWB,00110,20250123,5417.0,2169.0,0.0,7586.0
PWB00111,PWB,00111,20250123,7286.0,2477.0,0.0,9763.0
PWB00112,PWB,00112,20250123,7555.0,2495.0,0.0,10050.0
PWB00115,PWB,00115,20250123,5209.0,1793.0,0.0,7002.0
PWB00117,PWB,00117,20250123,5011.0,1374.0,0.0,6385.0
PWB00119,PWB,00119,20250123,3991.0,637.0,0.0,4628.0
PWB00120,PWB,00120,20250123,5937.0,1942.0,0.0,7879.0
PWB00129,PWB,00129,20250123,3669.0,1321.0,0.0,4990.0
PWB00131,PWB,00131,20250123,8439.0,2944.0,0.0,11383.0
PWB00132,PWB,00132,20250123,7583.0,1735.0,0.0,9318.0
PWB00134,PWB,00134,20250123,8489.0,2789.0,0.0,11278.0
PWB00137,PWB,00137,20250123,4321.0,1594.0,0.0,5915.0
PWB00139,PWB,00139,20250123,1.0,0.0,0.0,1.0
PWB00140,PWB,00140,20250123,4292.0,1785.0,0.0,6077.0
PWB00141,PWB,00141,20250123,4241.0,1434.0,0.0,5675.0
PWB00142,PWB,00142,20250123,3820.0,1333.0,0.0,5153.0
PWB00143,PWB,00143,20250123,6201.0,1663.0,0.0,7864.0
PWB00144,PWB,00144,20250123,8595.0,1773.0,0.0,10368.0
PWB00146,PWB,00146,20250123,3983.0,1531.0,0.0,5514.0
PWB00147,PWB,00147,20250123,5384.0,2133.0,0.0,7517.0
PWB00150,PWB,00150,20250123,3254.0,1541.0,0.0,4795.0
PWB00154,PWB,00154,20250123,7284.0,2343.0,0.0,9627.0
PWB00155,PWB,00155,20250123,4333.0,1523.0,0.0,5856.0
