cntnum,stmerch,cntdate,deptcode,deptname,subdeptcode,subdeptname,sku,sbc,ibc,bndname,prname,prmodel,soh,cntqnt,varianceqnt,extphycnt_retail,extphycnt_cost,extphy_retailvar,extphy_costvar,gmperc,skutype,rpname
00010F111124002,00010,20241111,01,Audio,0101,Audio HI-FI,264163,8858745623921,             ,DENON                         ,HOME THEATER SET DENON #AVR-X2700+A170+A120+A135C,X2700+A170+A120+A135,1,1,0,61900,49172.9,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,281431,8858745627370,             ,JBL                           ,PA SPEAKER JBL PATY BOX #PBENCORE2MICAS,JBLPBENCORE2MICAS,5,5,0,94500,75070.1,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,274669,8858745626182,             ,JBL                           ,PA SPEAKER JBL #PARTY BOX710,PARTY BOX710,4,4,0,131600,103946.24,0,0,15.48,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,252329,8858745621910,             ,JBL                           ,PA SPEAKER JBL #PARTYBOX1000,PARTYBOX1000,2,2,0,79800,63392.52,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,298626,8858745630547,             ,JBL                           ,SPEAKER JBL #PARTYBOX320,PARTYBOX320,4,4,0,103600,82299.06,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,262796,8858745623624,             ,JBL                           ,SPEAKER JBL #PARTY ON THE GO,PARTYBOX OTG,1,1,0,12900,7447.2,0,0,38.23,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,298628,8858745630530,             ,JBL                           ,SPEAKER JBL #PARTYBOX CLUB 120,PARTYBOX CLUB 120,4,4,0,75600,60056.08,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,298630,8858745630516,             ,JBL                           ,SPEAKER JBL #PARTYBOX ON THE GO ESSENTIAL,ON THE GO ESSENTIAL,3,3,0,56700,45042.06,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,288112,8858745628438,             ,JBL                           ,SOUNDBAR JBL #BAR800PROBLKAS,BAR800PROBLKAS,3,3,0,89700,71257.02,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,288113,8858745628469,             ,JBL                           ,SOUNDBAR JBL #BAR1000PROBLKAS,BAR1000PROBLKAS,2,2,0,71800,57037.38,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,288114,8858745628490,             ,JBL                           ,SOUNDBAR JBL #BAR1300BLKAS,BAR1300BLKAS,2,2,0,99800,79280.38,0,0,15,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,259620,8858745623020,             ,JBL                           ,SOUNDBAR JBL #BAR 9.1 3D,BAR 9.1 3D,7,7,0,195300,146948.31,0,0,19.49,Consign,STK2
00010F111124002,00010,20241111,01,Audio,0102,Visual HI-FI,288110,8858745628407,             ,JBL                           ,SOUNDBAR JBL #BAR500PROBLKAS,BAR500PROBLKAS,4,4,0,91600,72766.36,0,0,15,Consign,STK2
