cntnum,deptcode,deptname,LOCATION,skcode,baribc,barsbc1,barsbc2,prname,bndname,model,color,soh,variance,posprice,cntqnt,prtype,rpname
00010F111124002,1,Audio,BS2+001+004,233262,             ,8858745615766,,ลำโพงคู่หน้า+MIXER JBL #EON208P,JBL                           ,EON208P,ไม่ระบุ,2,0,30268,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00010,233262,             ,8858745615766,,ลำโพงคู่หน้า+MIXER JBL #EON208P,JBL                           ,EON208P,ไม่ระบุ,2,0,30268,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,246485,             ,8858745619719,,SET HOME THEATER DENON #AVR-X250BT+CINEMA510,DENON                         ,AVR-X250BT+CINEMA510,ไม่ระบุ,1,0,21900,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,249245,             ,8858745620708,,ลำโพง SUBWOOFER JBL #A100P,JBL                           ,A100P,ไม่ระบุ,1,0,12900,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,249246,             ,8858745620739,,ลำโพง SUBWOOFER JBL #A120P,JBL                           ,A120P,ไม่ระบุ,1,0,15900,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+00002,252329,             ,8858745621910,,PA SPEAKER JBL #PARTYBOX1000,JBL                           ,PARTYBOX1000,ไม่ระบุ,2,0,37905,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,252329,             ,8858745621910,,PA SPEAKER JBL #PARTYBOX1000,JBL                           ,PARTYBOX1000,ไม่ระบุ,2,0,37905,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,256077,             ,8858745622351,,ลำโพงคู่หน้า JBL #IRX112BT,JBL                           ,IRX112BT,ไม่ระบุ,1,0,18308,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,256078,             ,8858745622320,,ลำโพงคู่หน้า JBL #IRX108BT,JBL                           ,IRX108BT,ไม่ระบุ,1,0,15548,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00010,259620,             ,8858745623020,,SOUNDBAR JBL #BAR 9.1 3D,JBL                           ,BAR 9.1 3D,ไม่ระบุ,7,0,27900,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,259620,             ,8858745623020,,SOUNDBAR JBL #BAR 9.1 3D,JBL                           ,BAR 9.1 3D,ไม่ระบุ,7,0,27900,6,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,262796,             ,8858745623624,,SPEAKER JBL #PARTY ON THE GO,JBL                           ,PARTYBOX OTG,ไม่ระบุ,1,0,12900,1,Consign,VAR2
00010F111124002,1,Audio,SFL+001+00008,264163,             ,8858745623921,,HOME THEATER SET DENON #AVR-X2700+A170+A120+A135C,DENON                         ,X2700+A170+A120+A135,ไม่ระบุ,1,0,61900,1,Consign,VAR2
00010F111124002,1,Audio,BS2+001+004,264165,             ,8858745623907,,RECIVER DENON #AVR-X2700H,DENON                         ,AVR-X2700H,ไม่ระบุ,1,0,34900,1,Consign,VAR2
