store,cntdate,countname,dpt,sdpt,cls,scls,sku,ibc,sbc,sku_des,brandid,brnnam,vendor,vend_nam,catalogue,coldsc,sizdsc,retail,cost,soh,qty_count,qty_var,extrtl_var,extcst_var,skutype,rpname,phycnt_cst,phycnt_rtl,percen_var,gm,vnd_vat_rate
FC071,20240916,,510,117,,,382774,,4977766720434,เครื่องพิมพ์อักษร Brother PT-D200,,,,,,,,1790,1465.95,2,2,0,0,0,Credit,STK2,2931.9,3580,,,
FC071,20240916,,510,107,,,149873,,4977766688864,เทปพิมพ์อักษร TZE-251 24 มม. ดำพื้นขาว Brother TZ,,,,,,,,870,695.88,3,3,0,0,0,Credit,STK2,2087.64,2610,,,
FC071,20240916,,510,107,,,229413,,4977766682343,เทปพิมพ์อักษร TZE-651 24 มม. สีดำพื้นเหลือง Brother TZ,,,,,,,,870,695.88,4,4,0,0,0,Credit,STK2,2783.52,3480,,,
FC071,20240916,,510,107,,,185454,,4977766682091,เทปพิมพ์อักษร TZE-541 18 มม. สีดำพื้นน้ำเงิน Brother TZ,,,,,,,,720,576.29,2,2,0,0,0,Credit,STK2,1152.58,1440,,,
FC071,20240916,,510,107,,,150761,,4977766682312,เทปพิมพ์อักษร TZE-641 18 มม. สีดำพื้นเหลือง Brother TZ,,,,,,,,720,576.29,4,4,0,0,0,Credit,STK2,2305.16,2880,,,
FC071,20240916,,510,107,,,149532,,4977766688635,เทปพิมพ์อักษร TZE-241 18 มม. สีดำพื้นขาว Brother TZ,,,,,,,,720,576.29,3,3,0,0,0,Credit,STK2,1728.87,2160,,,
FC071,20240916,,510,107,,,149533,,4977766688222,เทปพิมพ์อักษร TZE-231 12 มม. สีดำพื้นขาว Brother TZ,,,,,,,,600,479.38,0,0,0,0,0,Credit,STK2,0,0,,,
FC071,20240916,,510,107,,,149534,,4977766688420,เทปพิมพ์อักษร TZE-631 12มม. สีดำพื้นเหลือง Brother TZ,,,,,,,,600,479.38,0,0,0,0,0,Credit,STK2,0,0,,,
FC071,20240916,,510,107,,,149951,,4977766682039,เทปพิมพ์อักษร TZE-531 12 มม. สีดำพื้นน้ำเงิน Brother TZ,,,,,,,,600,479.38,2,2,0,0,0,Credit,STK2,958.76,1200,,,
FC071,20240916,,510,107,,,175872,,4977766687188,เทปพิมพ์อักษร TZE-S221 9 มม. สีดำพื้นขาว Brother TZ,,,,,,,,600,479.38,1,1,0,0,0,Credit,STK2,479.38,600,,,
FC071,20240916,,510,107,,,149456,,4977766687805,เทปพิมพ์อักษร TZE-221 9 มม. สีดำพื้นขาว Brother TZ,,,,,,,,540,431.96,7,7,0,0,0,Credit,STK2,3023.72,3780,,,
FC071,20240916,,510,107,,,149445,,4977766682213,เทปพิมพ์อักษร TZE-611 6 มม. สีดำพื้นเหลือง Brother TZ,,,,,,,,460,368.04,5,5,0,0,0,Credit,STK2,1840.2,2300,,,
FC071,20240916,,510,107,,,150757,,4977766694735,เทปพิมพ์อักษร TZE-211 6 มม. สีดำพื้นขาว Brother TZ,,,,,,,,460,368.04,3,3,0,0,0,Credit,STK2,1104.1200000000001,1380,,,
FC071,20240916,,510,108,,,468579,,8853038020357,รางปลั๊กไฟ 2ช่อง 1สวิตซ์ 5USB 3เมตร DATA LV259U ,,,,,,,,499,343.63,3,3,0,0,0,Credit,STK2,1030.8899999999999,1497,,,
FC071,20240916,,510,108,,,416814,,8853038016145,รางปลั๊กไฟ มอก.5 ช่อง 1 สวิตซ์  10A 3 เมตร DATA LV56M3,,,,,,,,409,275.85,3,3,0,0,0,Credit,STK2,827.5500000000001,1227,,,
FC071,20240916,,510,105,,,177864,,8888021200720,ถ่าน MAX AAA (แพ็ค8ก้อน) Energizer E92,,,,,,,,208,156.32,8,8,0,0,0,Credit,STK2,1250.56,1664,,,
FC071,20240916,,510,105,,,151127,,8888021203943,ถ่านอัลคาไลน์ AA (แพ็ค 6 ก้อน) Energizer Max,,,,,,,,168,126.26,6,6,0,0,0,Credit,STK2,757.5600000000001,1008,,,
FC071,20240916,,510,105,,,151128,,8888021203950,ถ่านอัลคาไลน์ AAA 1.5โวลต์ (แพ็ค6ก้อน) Energizer Max,,,,,,,,168,126.26,10,10,0,0,0,Credit,STK2,1262.6000000000001,1680,,,
FC071,20240916,,510,105,,,149387,,8888021200164,ถ่านอัลคาไลน์ E92-BP4 AAA (แพ็ค4ก้อน) Energizer Max,,,,,,,,123,84.54,9,9,0,0,0,Credit,STK2,760.86,1107,,,
FC071,20240916,,510,105,,,149381,,8888021200126,ถ่านอัลคาไลน์ E91-BP4 AA (แพ็ค4ก้อน) Energizer Max,,,,,,,,123,84.54,4,4,0,0,0,Credit,STK2,338.16,492,,,
FC071,20240916,,510,105,,,149380,,8888021200119,ถ่านอัลคาไลน์ E91-BP2 AA (แพ็ค 2 ก้อน) Energizer Max,,,,,,,,65,43.2,5,5,0,0,0,Credit,STK2,216,325,,,
FC071,20240916,,510,105,,,149386,,8888021200157,ถ่านอัลคาไลน์ E92-BP2 AAA 1x2 Energizer Max,,,,,,,,65,43.2,8,8,0,0,0,Credit,STK2,345.6,520,,,
FC071,20240916,,510,105,,,222029,,8888021300116,ถ่านอัลคาไลน์ BP1-A23 12V (1 ก้อน) Energizer,,,,,,,,52,32.16,6,5,-1,-52,-32.16,Credit,STK2,160.79999999999998,260,,,
FC071,20240916,,510,105,,,222035,,9312931540076,ถ่านกระดุม (แพ็ค 2 ก้อน) Energizer A76/LR44,,,,,,,,52,34.91,10,10,0,0,0,Credit,STK2,349.09999999999997,520,,,
FC071,20240916,,510,105,,,187118,,9312931540366,ถ่านกระดุมลิเธี่ยม Energizer ECR-2032,,,,,,,,52,36.62,11,11,0,0,0,Credit,STK2,402.82,572,,,
FC071,20240916,,510,117,,,382792,,8885007026428,เครื่องพิมพ์ฉลาก ดำ-เทา Epson LW-K400,,,,,,,,1690,1384.54,1,1,0,0,0,Credit,STK2,1384.54,1690,,,
FC071,20240916,,510,107,,,448420,,8885007025278,เทปพิมพ์อักษร 36 มม. ดำพื้นเทปขาว Epson LK-7WBN,,,,,,,,890,712.37,4,4,0,0,0,Credit,STK2,2849.48,3560,,,
