cntdate,countname,store,batch,dept,sdept,class,sclass,sku,ibc,sbc,sku_desc,brndname,brnddesc,catalogue,color,size,retail,cost,phycnt_rtl,phycnt_cst,qty_count,count_user,rpname
20241005,4BBY01,14,,510,101,100,110,355725,72377840,4549526701382,คร.คิดเลขCASIO#DM-1200FM-W-DP,CASIO CA,CASIO,DM-1200FM-W-DP,SILVER,,1300,857.695,0,0,0,,VAR1
20241005,4BBY01,14,,510,101,100,110,413212,72951750,6924035806564,Iเครื่องคิดเลขNeo#DC-118/BK,NEO   NE,NEO,DC-118,BLACK,,259,87.538,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,100,100,149601,70007558,8887549037238,ถ่านPANA#NEO/AA/P4,PANASOPA,PANASONIC,R6NT/4SL,NOT THE COLOR,,69,44.999,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,100,110,149488,70007855,8888021100310,ถ่านEVEREADY#1212/AAA/P2,EVEREAEV,EVEREADY,1212/AAA/P2,NOT THE COLOR,,33,21.013,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,100,149608,70007275,4984824089198,ถ่านALKALINE#PANA/AA/P2,PANASOPA,PANASONIC,LR6T/2B,NOT THE COLOR,,69,42.484,0,0,0,,VAR1
20241005,4BBY01,14,F10009,510,105,110,100,149610,70007299,4984824089235,ถ่านPANA#ALKALINE/AA/P8,PANASOPA,PANASONIC,LR6T/8B,NOT THE COLOR,,208,123.991,208,123.99,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,510,105,110,100,151104,70320084,8887549315701,ถ่านPANA#EVOLTA/AA/P2,PANASOPA,PANASONIC,LR6EG/2BN,NOT THE COLOR,,78,46.954,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,100,334765,72168585,8887549694257,ถ่านPANASONIC#LR03T/10SL/AAA,PANASOPA,PANASONIC,LR03T/10SL,GOLD,,250,154.703,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,100,363332,72453490,8887549781162,ถ่านอีโวต้าPANA#AA/P8,PANASOPA,PANASONIC,LR6EG/8SL,BLUE,,256,159.954,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,110,149611,70007725,4984824089020,ถ่านALKALINE#PANA/AAA/P2,PANASOPA,PANASONIC,LR03T/2B,NOT THE COLOR,,69,42.324,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,110,149612,70007732,4984824089044,ถ่านALKALINE#PANA/AAA/P4,PANASOPA,PANASONIC,LR03T/4B,NOT THE COLOR,,123,75.996,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,110,149613,70007749,4984824299757,ถ่านPANA#ALKALINE/AAA/P8,PANASOPA,PANASONIC,LR03T/8B,NOT THE COLOR,,208,123.999,0,0,0,,VAR1
20241005,4BBY01,14,,510,105,110,140,150930,70302097,4984824396135,ถ่านกระดุมPANA#CR-2032PT/1B,PANASOPA,PANASONIC,CR-2032PT/1B,NOT THE COLOR,,55,30,0,0,0,,VAR1
20241005,4BBY01,14,F10006,510,107,100,100,149401,70001037,4971850101635,ผ้าหมึกเครื่องคิดเลข IR-40T,CASIO CA,CASIO,IR-40T,NOT THE COLOR,,420,314.02,2520,1884.12,6,OHOSTRDPB,VAR1
20241005,4BBY01,14,,510,107,150,100,319761,72019245,8858704400327,พลาสติกเคลือบONE#100MC.A4,ONE   ON,ONE,100MC.216X306MM,,,379,205,0,0,0,,VAR1
20241005,4BBY01,14,,510,107,150,100,319762,72019252,8858704400334,พลาสติกเคลือบONE#125MC.65x95,ONE   ON,ONE,125MC.65X95MM,,,55,26,0,0,0,,VAR1
20241005,4BBY01,14,,510,107,150,100,319763,72019269,8858704400341,พลาสติกเคลือบONE#125MC.70x100,ONE   ON,ONE,125MC.70X100MM,,,65,28,0,0,0,,VAR1
20241005,4BBY01,14,F10009,510,107,150,100,319769,72019320,8858704400402,พลาสติกเคลือบONE#125MC.A3,ONE   ON,ONE,125MC.303X426MM,,,879,490,879,490,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,510,107,160,100,319695,72018590,8851565961006,สันห่วงONE#10MM./BU/P10,ONE   ON,ONE,10MM./BU,BLUE,,38,15.49,0,0,0,,VAR1
20241005,4BBY01,14,,510,107,160,100,319700,72018644,8851565931009,สันห่วงONE#10MM./WH/P10,ONE   ON,ONE,10MM./WH,WHITE,,38,15.206,0,0,0,,VAR1
20241005,4BBY01,14,,510,107,160,100,319703,72018675,8851565116208,สันห่วงONE#11MM./BU/P10,ONE   ON,ONE,11MM./BU,BLUE,,53,19.677,0,0,0,,VAR1
20241005,4BBY01,14,,510,107,160,100,319728,72018910,8851565153104,สันห่วงONE#16MM./WH/P10,ONE   ON,ONE,16MM./WH,WHITE,,79,33.54,0,0,0,,VAR1
20241005,4BBY01,14,,510,107,170,100,326319,70675825,8852037775749,กระดาษTHERMAL1ชั้น58G80X80มม,CASIO CA,CASIO,,WHITE,,150,104.453,0,0,0,,VAR1
20241005,4BBY01,14,,510,108,100,100,359796,72418314,8859221714225,ปลั๊กไฟ(มอก.)4ช่องNEO3134-WH,NEO   NE,NEO,NEO3134,WHITE,,479,182.578,0,0,0,,VAR1
20241005,4BBY01,14,,510,108,100,100,359797,72418321,8859221714232,ปลั๊กไฟ(มอก.)4ช่องNEO3134-GY,NEO   NE,NEO,NEO3134,GRAY,,479,178.431,0,0,0,,VAR1
20241005,4BBY01,14,,510,108,100,100,359799,72418345,8859221714256,ปลั๊กไฟ(มอก.)5ช่องNEO1055-WH,NEO   NE,NEO,NEO1055,WHITE,,579,193.97,0,0,0,,VAR1
20241005,4BBY01,14,D40001,510,108,100,100,359800,72418352,8859221714218,ปลั๊กไฟ(มอก.)4ช่องNEO1035-GY,NEO   NE,NEO,NEO1035,GRAY,,449,153.29,449,153.29,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,510,108,100,100,359801,72418369,8859221714188,ปลั๊กไฟ(มอก.)3ช่องNEO1133-WH,NEO   NE,NEO,NEO1133,WHITE,,249,154.891,0,0,0,,VAR1
20241005,4BBY01,14,,510,108,100,100,359802,72418376,8859221714201,ปลั๊กไฟ(มอก.)5ช่องNEO1035-WH,NEO   NE,NEO,NEO1035,WHITE,,449,166.209,0,0,0,,VAR1
20241005,4BBY01,14,,510,108,100,100,388975,72709672,8859375108574,Iรางปลั๊กไฟNEO404G4ส4ช3มA10/GY,NEO   NE,NEO,NEO404G,GRAY,,459,170.652,0,0,0,,VAR1
20241005,4BBY01,14,F10009,510,108,100,110,442838,73247074,8858702094863,iNEO ADAPTOR NA02 2 OUTLET,NEO   NE,NEO,F5ADP-NE01-NA02,WHITE,,99,42,99,42,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,510,108,100,110,442839,73247081,8858702094856,iNEO ADAPTOR NA01 1 OUTLET,NEO   NE,NEO,F5ADP-NE01-NA01,WHITE,,79,36,0,0,0,,VAR1
20241005,4BBY01,14,F10005,510,108,100,120,356234,72382936,8859221712757,ปลั๊กไฟ(มอก)+5ช่อง3M#H1135-WH,ANITE AN,ANITECH,H1135-WH,WHITE,,459,321.73,459,321.73,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10005,510,108,100,150,442841,73247104,8858702094832,iNEO EXTENSION SW3/12U1C 3131,NEO   NE,NEO,F5ST3-NE01-3131,WHITE,,319,145,319,145,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,510,111,100,100,326225,72083581,0,ตัวโชว์คร.เคลือบบัตร#LM-230I,SHRED SH,SHRED-ET,LM-230I,,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,,510,111,100,100,446551,73284062,8850438017956,ของแถม-แผงเสียบบัตร ออฟฟิซ โปร,OFFICEPR,OFFICE PRO,,,,0.01,0,0,0,0,,VAR1
20241005,4BBY01,14,F10060,520,201,110,100,441568,73234487,8851666001786,โต๊ะอเนกประสงค์PRELUDE#TP-6012,PRELUDPL,PRELUDE,TP-60120,,,1290,700,1290,700,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,520,203,100,110,295213,71774275,0,เก้าอี้MODENA#MIAMI/BK,MODENAMN,MODENA,MIAMI,BLACK,,6290,3213.374,0,0,0,,VAR1
20241005,4BBY01,14,,520,203,110,100,443744,73256113,0,เก้าอี้#MOVE#เฟอร์ราเดค#GY,FUR   FR,FURRADEC,,GRAY,,7590,1988.61,0,0,0,,VAR1
20241005,4BBY01,14,,520,203,110,110,237120,71195759,0,เก้าอี้สำนักงานSTB#CH-004B,STB   ST,STB,CH-004B,BLACK,,1370,830,0,0,0,,VAR1
20241005,4BBY01,14,F10051,520,203,130,100,438749,73206583,0,เก้าอี้สุขภาพ FUR#Supreme/BK,FUR   FR,FURRADEC,SUPREME,BLACK,,25900,12181,25900,12181,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10051,520,203,130,110,405388,72311868,0,Iเก้าอี้สุขภาพFUR#IMOVE-B/BK,FUR   FR,FURRADEC,IMOVE-B,BLACK,,16900,7621.773,0,0,0,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10051,520,203,130,110,405422,72475409,0,เก้าอี้สุขภาพFUR#WILLIAM/BK,FUR   FR,FURRADEC,WILLIAM,BLACK,,11900,6551.688,11900,6551.68,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10004,520,203,130,120,404839,72002865,8800406070025,เบาะรองนั่งกระชับสะโพก,ERGOTRER,ERGOTREND,HIPUP MIYOKOREA,BLACK,,990,712.43,1980,1424.86,2,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10051,520,203,130,120,404839,72002865,8800406070025,เบาะรองนั่งกระชับสะโพก,ERGOTRER,ERGOTREND,HIPUP MIYOKOREA,BLACK,,990,712.43,0,0,0,OHOSTRDPB,VAR1
20241005,4BBY01,14,,520,203,150,100,404766,70524543,0,เก้าอี้VALUE CHOICE/BU,VALUE CH,VALUE CHOICE,VALUE CHOICE,BLUE,,860,445,0,0,0,,VAR1
20241005,4BBY01,14,,520,208,100,100,304186,71863757,0,ตัวโชว์เก้าอี้VALUE CHOICE/BU,VALUE CH,VALUE CHOICE,VC,BLUE,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,F10051,520,208,100,100,316976,71991610,0,ตัวโชว์ที่วางเท้า#F6032/BK,VALUE CH,VALUE CHOICE,F6032,BLACK,,0,0,0,0,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10051,520,208,100,100,316977,71991627,0,ตัวโชว์แท่นพักเท้า#F7012/BK,VALUE CH,VALUE CHOICE,F7012,BLACK,,0,0,0,0,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10051,520,208,100,100,316978,71991634,0,ตัวโชว์แท่นพักเท้า#F6048/BK,VALUE CH,VALUE CHOICE,F6048,BLACK,,0,0,0,0,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,,520,208,100,100,317007,71991917,0,ตัวโชว์โต๊ะพับ#T-150BF,JKN   JK,JKN,T-150BF,,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,,520,208,100,100,317580,71997575,0,ตัวโชว์-เก้าอี้#MIAMI/BK,MODENAMN,MODENA,MIAMI,BLACK,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,,520,208,100,100,318802,72009710,0,ตัวโชว์โต๊ะพับSTB#TB-75150,STB   ST,STB,TB-75150,,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,,520,208,100,100,318811,72009802,0,ตัวโชว์เก้าอี้#CH-004A/BK,STB   ST,STB,CH-004A,BLACK,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,,520,208,100,100,318825,72009949,0,ตัวโชว์โต๊ะพับSTB#TB-75180,STB   ST,STB,TB-75180,,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,,520,208,100,100,323704,72058503,0,ตัวโชว์HIPUPMIYOKOREA/BK-RD,ERGOTRER,ERGOTREND,HIPUP MIYOKOREA,BLACK-RED,,0.01,0.001,0,0,0,,VAR1
20241005,4BBY01,14,F10059,520,208,100,100,323705,72058510,0,ตัวโชว์#BACKESTMIYOKR/BK-RD,ERGOTRER,ERGOTREND,MIYO KOREA,BLACK-RED,,0.01,0.001,0.01,0,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,D40001,520,209,120,100,405077,72277911,0,Iโต๊ะ+ลิ้นชักFUR#CT-1729/WA,FUR   FR,FURRADEC,CT-1729,WALNUT,,6090,1523.304,6090,1523.3,1,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10060,520,209,120,100,405077,72277911,0,Iโต๊ะ+ลิ้นชักFUR#CT-1729/WA,FUR   FR,FURRADEC,CT-1729,WALNUT,,6090,1523.304,0,0,0,OHOSTRDPB,VAR1
20241005,4BBY01,14,F10051,520,209,120,100,405082,72284100,0,Iโต๊ะ+ชั้นวางFUR#NT-3B/BE,FUR   FR,FURRADEC,NT-3B,BEACH,,2990,1243.29,2990,1243.29,1,OHOSTRDPB,VAR1
